ID,Relevance
[1262140651346550786],irrelevant
[1262140653435269123],relevant
[1262140655050121230],irrelevant
[1262140656312606722],relevant
[1262140657772244994],relevant
[1262140659294777348],relevant
[1262140661140201472],irrelevant
[1262140666039205890],irrelevant
[1262140664160104450],relevant
[1262140663203860480],relevant
[1262140662981558278],relevant
[1262140666651516934],relevant
[1262140668518031363],irrelevant
[1262140668748668936],irrelevant
[1262140671198146567],irrelevant
[1262140672733216777],relevant
[1262140673224060928],relevant
[1262140676311060488],relevant
[1262140677028265984],irrelevant
[1262140678324305920],relevant
[1262140676218802176],relevant
[1262140678525595648],irrelevant
[1262140680899563520],irrelevant
[1262140679213416450],relevant
[1262140683760082944],relevant
[1262140684838019077],irrelevant
[1262140684921954304],relevant
[1262140685869821960],relevant
[1262140686188634116],relevant
[1262140687472119809],relevant
[1262140688071897095],relevant
[1262140688214495234],relevant
[1262140692941471745],relevant
[1262140694958931968],irrelevant
[1262140698658254849],relevant
[1262140698603728901],relevant
[1262140697433591808],relevant
[1262140698201030659],relevant
[1262140703540490244],irrelevant
[1262140701976002560],relevant
[1262140705251766278],relevant
[1262140707197931527],relevant
[1262140712059092998],irrelevant
[1262140711744483330],relevant
[1262140709206986752],irrelevant
[1262140713933967361],irrelevant
[1262140716861591557],irrelevant
[1262140720430944256],relevant
[1262140719776632837],irrelevant
[1262140719168438272],relevant
[1262140717767561219],relevant
[1262140722020519936],relevant
[1262140722989486082],relevant
[1262140724436520960],relevant
[1262140725942157314],relevant
[1262140737644302337],relevant
[1262140734028816388],relevant
[1262140734209130496],irrelevant
[1262140736012722178],relevant
[1262140741633048585],relevant
[1262140750361493513],relevant
[1262140753674932225],relevant
[1262140751862874113],relevant
[1262140751452004365],relevant
[1262140755948244992],relevant
[1262140756992708608],relevant
[1262140757202305025],irrelevant
[1262140758116765696],relevant
[1262140758246785025],relevant
[1262140766626906113],relevant
[1262140770028486658],irrelevant
[1262140767373611009],irrelevant
[1262140771865694210],relevant
[1262140772079620096],relevant
[1262140773300133889],irrelevant
[1262140800298819585],irrelevant
[1262140803889221632],relevant
[1262140802874163201],irrelevant
[1262140805185224704],relevant
[1262140817050865666],relevant
[1262140830451712002],relevant
[1262140849376247808],relevant
[1262140854627700740],relevant
[1262140918863482880],relevant
[1262140926622945284],relevant
[1262140938064977929],relevant
[1262140940984225794],relevant
[1262140941487529992],relevant
[1262140975255900160],relevant
[1262140989277458433],relevant
[1262140993282830336],relevant
[1262141053127348232],relevant
[1262141063432753154],relevant
[1262141093061287942],relevant
[1262141124019396608],relevant
[1262141183800889344],relevant
[1262141226419138563],relevant
[1262141376105414659],relevant
[1262141585086648321],relevant
[1262141589968818180],relevant
[1262141590694486019],relevant
[1262141591185240065],relevant
[1262141592279883776],relevant
[1262141602623098880],relevant
[1262141610558730241],relevant
[1262141715835731968],relevant
[1262142305059966976],relevant
[1262142305856880642],relevant
[1262142386421055489],relevant
[1262142481518546944],relevant
[1262142515827953667],relevant
[1262142519229517832],relevant
[1262142518185033731],relevant
[1262142523784527873],irrelevant
[1262142531564961792],relevant
[1262142542134509580],relevant
[1262142562778976256],relevant
[1262142616801591299],relevant
[1262142642520981507],relevant
[1262143180738367496],relevant
[1262143267417796609],relevant
[1262143395767750657],relevant
[1262143596339310594],relevant
[1262143746117898244],relevant
[1262143827558752257],relevant
[1262143849817944073],relevant
[1262144419177922562],relevant
[1262144896485515270],relevant
[1262145023996563463],relevant
[1262145230721212416],relevant
[1262145300837384197],relevant
[1262145603062169606],relevant
[1262146036073746442],relevant
[1262146284460392449],relevant
[1262146395106140165],relevant
[1262146543316094983],relevant
[1262146660186161153],relevant
[1262146682697003012],relevant
[1262147025057054723],relevant
[1262147071966142468],relevant
[1262147076948930566],relevant
[1262147382990553088],relevant
[1262147476712296456],relevant
[1262147569716801537],relevant
[1262148038925172737],relevant
[1262148695635738624],relevant
[1262148723674619905],relevant
[1262148837566799872],relevant
[1262148869854572544],relevant
[1262148962422796291],relevant
[1262149111656189953],relevant
[1262149268934135811],relevant
[1262149527747903490],relevant
[1262149581200134149],relevant
[1262149722820825088],relevant
[1262149739463823361],relevant
[1262149799102603269],relevant
[1262149803095609344],relevant
[1262149837832716289],relevant
[1262150089616896006],relevant
[1262150270609432576],relevant
[1262150582443311105],relevant
[1262151337653022721],relevant
[1262151491995013121],relevant
[1262151497984417793],relevant
[1262151875354341376],relevant
[1262151883294212096],relevant
[1262151889258455040],relevant
[1262152164249665538],relevant
[1262152357216911362],relevant
[1262152533994344448],relevant
[1262152600138514432],relevant
[1262152601593950210],relevant
[1262153135554015232],relevant
[1262153146656329728],relevant
[1262153633308848129],relevant
[1262153808681058304],relevant
[1262154058619551745],relevant
[1262154056363106315],relevant
[1262154225230000129],relevant
[1262154549147598849],relevant
[1262154703850352640],relevant
[1262154734674284545],relevant
[1262155445277462531],relevant
[1262155505092497408],relevant
[1262155818952200193],relevant
[1262155941056786435],relevant
[1262156234809106432],relevant
[1262156426367184896],relevant
[1262156450652139522],relevant
[1262156453038764039],relevant
[1262156456893321216],relevant
[1262156461255413762],irrelevant
[1262156459074359296],relevant
[1262156497447989250],relevant
[1262156511138254849],irrelevant
[1262156520428617731],relevant
[1262156583607336961],irrelevant
[1262156585448509440],relevant
[1262156591794511873],relevant
[1262156681598980102],relevant
[1262156693749800960],relevant
[1262156720660451328],irrelevant
[1262156722719862784],relevant
[1262156728847732736],relevant
[1262156745524346880],relevant
[1262156750029012992],irrelevant
[1262156748623839233],relevant
[1262156752067407875],relevant
[1262156754248400896],relevant
[1262156769998094336],relevant
[1262156774196551680],relevant
[1262156801467957248],relevant
[1262156813136470018],relevant
[1262156815653052417],relevant
[1262156821135056902],irrelevant
[1262156820891738112],relevant
[1262156831088095232],relevant
[1262156845470359553],irrelevant
[1262156848137940997],relevant
[1262156869931581443],relevant
[1262156871126978560],relevant
[1262156882933932033],relevant
[1262156895617527810],relevant
[1262156953758969863],relevant
[1262156971282763778],relevant
[1262157139805638656],relevant
[1262157158315106304],relevant
[1262157158986264576],relevant
[1262157231983931395],relevant
[1262157690660405248],relevant
[1262157715553628160],relevant
[1262158287807676416],relevant
[1262159146851414023],relevant
[1262160242814656513],relevant
[1262160623707840513],relevant
[1262162027008663553],relevant
[1262162230516293637],relevant
[1262162306189967362],relevant
[1262162311688536064],relevant
[1262162434028158976],relevant
[1262162444060889088],relevant
[1262162444841033728],irrelevant
[1262162460569677824],relevant
[1262162465783234562],relevant
[1262162467842646017],relevant
[1262162481159507982],relevant
[1262162491494273025],relevant
[1262162493461364742],relevant
[1262162561002242048],relevant
[1262162571869724673],relevant
[1262162574071791621],relevant
[1262162580707192834],relevant
[1262162592765788161],irrelevant
[1262162591608188928],relevant
[1262162595651469312],relevant
[1262162597870284800],relevant
[1262162598528770052],relevant
[1262162599933771776],relevant
[1262162605390602241],relevant
[1262162602899189760],relevant
[1262162610503499776],irrelevant
[1262162641910464513],relevant
[1262162643223220226],relevant
[1262162648604557313],relevant
[1262162656028475399],relevant
[1262165875244912640],relevant
[1262166725929418757],relevant
[1262168010753740805],relevant
[1262168026142650369],irrelevant
[1262168028638257153],irrelevant
[1262168056383537152],relevant
[1262168085882122240],relevant
[1262168166337314817],relevant
[1262168172532248576],relevant
[1262168180262342658],irrelevant
[1262168254442766336],relevant
[1262168652171882496],relevant
[1262168812511731714],relevant
[1262169344978628609],relevant
[1262169614374535171],relevant
[1262169790854107138],relevant
[1262170159973793792],relevant
[1262170758362607618],relevant
[1262170885596864516],relevant
[1262171001577787393],relevant
[1262171004283039744],relevant
[1262171008510853126],relevant
[1262171019059646465],relevant
[1262171031210463232],relevant
[1262853789482188806],irrelevant
[1262853811288313856],irrelevant
[1262853852489027584],irrelevant
[1262853855995461639],irrelevant
[1262853856452542464],relevant
[1262853859287932930],irrelevant
[1262853880993452034],relevant
[1262853885775003648],irrelevant
[1262853893525995521],relevant
[1262853909284093955],relevant
[1262853915588145154],relevant
[1262853916552835073],relevant
[1262853918368903174],irrelevant
[1262853922785558530],relevant
[1262853925893529600],relevant
[1262853936635097090],relevant
[1262853945682165761],relevant
[1262853965743640578],relevant
[1262853976132911105],relevant
[1262854075474948099],relevant
[1262854183302189056],relevant
[1262854291313876995],relevant
[1262854775206555649],irrelevant
[1262854851047886848],irrelevant
[1262854859579109376],relevant
[1262854868093501440],relevant
[1262854877945962499],relevant
[1262855009965936641],relevant
[1262855044514435077],irrelevant
[1262855095378681863],relevant
[1262855104937549824],relevant
[1262855107789627393],relevant
[1262855111782653952],relevant
[1262855112805974021],relevant
[1262855120624037893],relevant
[1262855125552504833],relevant
[1262855132229898240],relevant
[1262855133634928646],relevant
[1262855137141424131],relevant
[1262855152043786240],relevant
[1262855150122786819],relevant
[1262855159794864131],relevant
[1262855159056646144],relevant
[1262855170507014145],relevant
[1262855178081927170],relevant
[1262855181143867392],irrelevant
[1262855179965259778],relevant
[1262855191117864963],irrelevant
