ID,Information type
[1237533468512276480],caution_advice_and_crisis_updates
[1237533952400707590],irrelevant
[1237534512004739074],caution_advice_and_crisis_updates
[1237535505253711872],irrelevant
[1237536000043180036],irrelevant
[1237538648658022400],irrelevant
[1237539226033336320],irrelevant
[1237540380729458688],emotional_support_and_prayers
[1237540745164107776],irrelevant
[1237541142775783425],irrelevant
[1237542362429026305],opinions_and_criticism
[1237542799089651712],caution_advice_and_crisis_updates
[1237543764928786433],irrelevant
[1237545127242948608],irrelevant
[1237546244727140353],irrelevant
[1237546545555181568],caution_advice_and_crisis_updates
[1237546702057291776],irrelevant
[1237551747461070852],irrelevant
[1237553029156491271],caution_advice_and_crisis_updates
[1237553162191392768],irrelevant
[1237554820510175232],irrelevant
[1237554873337434113],irrelevant
[1237556294329884674],irrelevant
[1237560579595759616],irrelevant
[1237561520835317760],irrelevant
[1237562383221936128],irrelevant
[1237564513731227648],irrelevant
[1237565083334479872],irrelevant
[1237570087122436096],irrelevant
[1237573716654960640],opinions_and_criticism
[1237573962982256642],caution_advice_and_crisis_updates
[1237576832754442240],irrelevant
[1237577762841346048],irrelevant
[1237578554419773442],irrelevant
[1237584669702418433],caution_advice_and_crisis_updates
[1237585451755565062],opinions_and_criticism
[1237587276101611520],irrelevant
[1237594650111651840],caution_advice_and_crisis_updates
[1237598543512141826],caution_advice_and_crisis_updates
[1237606114092433413],caution_advice_and_crisis_updates
[1237606403998543872],caution_advice_and_crisis_updates
[1237607393543876609],irrelevant
[1237610745447067650],irrelevant
[1237612977420816384],irrelevant
[1237616803469197312],irrelevant
[1237617670746406913],irrelevant
[1237619260383346689],caution_advice_and_crisis_updates
[1237619744863289344],irrelevant
[1237619885691281408],irrelevant
[1237619972710563842],irrelevant
[1237620953250697216],caution_advice_and_crisis_updates
[1237621283447332864],irrelevant
[1237623152659890182],caution_advice_and_crisis_updates
[1237623405135921152],caution_advice_and_crisis_updates
[1237624807144820736],caution_advice_and_crisis_updates
[1237624944466550785],irrelevant
[1237629816792395776],irrelevant
[1237630294829694976],caution_advice_and_crisis_updates
[1237632524316270592],caution_advice_and_crisis_updates
[1237634360108597249],caution_advice_and_crisis_updates
[1237634720906620928],irrelevant
[1237636370610507777],caution_advice_and_crisis_updates
[1237636945305571328],caution_advice_and_crisis_updates
[1237637096367587328],irrelevant
[1237637795860172800],opinions_and_criticism
[1237638163847315456],caution_advice_and_crisis_updates
[1237640862663880706],irrelevant
[1237641950972567552],caution_advice_and_crisis_updates
[1237643939567583232],opinions_and_criticism
[1237644225489113090],emotional_support_and_prayers
[1237644673176547328],irrelevant
[1237645500184178689],caution_advice_and_crisis_updates
[1237646887177592833],irrelevant
[1237648033678057473],irrelevant
[1237649200952852487],opinions_and_criticism
[1237651528376291328],opinions_and_criticism
[1237651664926105600],irrelevant
[1237652591334522881],caution_advice_and_crisis_updates
[1237653124871061504],irrelevant
[1237655027096981506],irrelevant
[1237657679528632320],caution_advice_and_crisis_updates
[1237659627971584000],caution_advice_and_crisis_updates
[1237664729918824448],irrelevant
[1237665143053574144],irrelevant
[1237667011158818816],caution_advice_and_crisis_updates
[1237671877784547329],irrelevant
[1237672582540902402],caution_advice_and_crisis_updates
[1237673463902584832],caution_advice_and_crisis_updates
[1237676354809794560],infrastructure_and_utilities_damage
[1237681097082839041],emotional_support_and_prayers
[1237684911382896641],irrelevant
[1237685060125495296],irrelevant
[1237688512268382208],irrelevant
[1237689119653978112],irrelevant
[1237698600790081537],irrelevant
[1237698747934617601],caution_advice_and_crisis_updates
[1237704543225483264],caution_advice_and_crisis_updates
[1237708499049762822],caution_advice_and_crisis_updates
[1237709189725782018],caution_advice_and_crisis_updates
[1237715288386342913],caution_advice_and_crisis_updates
[1237715681983918080],irrelevant
[1237716827746246658],caution_advice_and_crisis_updates
[1237716827767287809],caution_advice_and_crisis_updates
