ID,Information type,affected_individuals_and_help,caution_advice_and_crisis_updates,emotional_support_and_prayers,infrastructure_and_utilities_damage,irrelevant,opinions_and_criticism
[1237533468512276480],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1237533952400707590],irrelevant,0,0,0,0,1,0
[1237534512004739074],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1237535505253711872],irrelevant,0,0,0,0,1,0
[1237536000043180036],irrelevant,0,0,0,0,1,0
[1237538648658022400],irrelevant,0,0,0,0,1,0
[1237539226033336320],irrelevant,0,0,0,0,1,0
[1237540380729458688],emotional_support_and_prayers,0,0,1,0,0,0
[1237540745164107776],irrelevant,0,0,0,0,1,0
[1237542362429026305],opinions_and_criticism,0,0,0,0,0,1
[1237543764928786433],irrelevant,0,0,0,0,1,0
[1237546244727140353],irrelevant,0,0,0,0,1,0
[1237546545555181568],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1237551747461070852],irrelevant,0,0,0,0,1,0
[1237553029156491271],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1237554820510175232],irrelevant,0,0,0,0,1,0
[1237554873337434113],irrelevant,0,0,0,0,1,0
[1237556294329884674],irrelevant,0,0,0,0,1,0
[1237560579595759616],irrelevant,0,0,0,0,1,0
[1237562383221936128],irrelevant,0,0,0,0,1,0
[1237564513731227648],irrelevant,0,0,0,0,1,0
[1237565083334479872],irrelevant,0,0,0,0,1,0
[1237570087122436096],irrelevant,0,0,0,0,1,0
[1237573962982256642],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1237576832754442240],irrelevant,0,0,0,0,1,0
[1237577762841346048],irrelevant,0,0,0,0,1,0
[1237584669702418433],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1237585451755565062],opinions_and_criticism,0,0,0,0,0,1
[1237587276101611520],irrelevant,0,0,0,0,1,0
[1237594650111651840],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1237598543512141826],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1237606114092433413],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1237606403998543872],caution_advice_and_crisis_updates,0,1,0,0,0,0
