ID,Information type
[1187681823079489536],irrelevant
[1187722814369026048],irrelevant
[1187732802890022913],irrelevant
[1187740974782529538],irrelevant
[1187769518103449600],irrelevant
[1187776861008547840],irrelevant
[1187781601494745091],irrelevant
[1187787195790385154],irrelevant
[1187789728638066689],irrelevant
[1187794032581382144],irrelevant
[1187794581678673920],irrelevant
[1187796709398798336],irrelevant
[1187797802379894787],irrelevant
[1187798152247762952],irrelevant
[1187800238679117824],irrelevant
[1187800955389005824],irrelevant
[1187801737928871936],irrelevant
[1187802142880481281],emotional_support_and_prayers
[1187803652280455168],irrelevant
[1187805141443006464],opinions_and_criticism
[1187805892001054720],irrelevant
[1187807975399985159],irrelevant
[1187809118209347585],irrelevant
[1187810431613714432],irrelevant
[1187810798632132614],emotional_support_and_prayers
[1187814230097051656],irrelevant
[1187819555017711617],irrelevant
[1187821986887671809],caution_advice_and_crisis_updates
[1187823279471509512],irrelevant
[1187829667794968576],irrelevant
[1187830700973723650],irrelevant
[1187831770365997057],irrelevant
[1187832991873196033],irrelevant
[1187841769037291523],irrelevant
[1187844552129990657],irrelevant
[1187846180560084992],irrelevant
[1187851071215034368],irrelevant
[1187851097441832960],emotional_support_and_prayers
[1187851598254485508],irrelevant
[1187853425788313600],irrelevant
[1187853989985038336],irrelevant
[1187854125234610176],irrelevant
[1187855109604233217],irrelevant
[1187859322316963840],irrelevant
[1187859421558460418],irrelevant
[1187859478005370882],irrelevant
[1187861607495458818],irrelevant
[1187861966364315649],irrelevant
[1187865985019273216],irrelevant
[1187867654863933440],irrelevant
[1187869065253183491],irrelevant
[1187870615786676224],irrelevant
[1187881258979905536],irrelevant
[1187891567585038336],irrelevant
[1187892989173125120],irrelevant
[1187898532851847168],irrelevant
[1187898724737077248],irrelevant
[1187900796295401478],irrelevant
[1187907232102518784],irrelevant
[1187919558570643462],irrelevant
[1187929704323538949],irrelevant
[1187931452681441280],irrelevant
[1187933545496530945],irrelevant
[1187935497571749888],irrelevant
[1187947089986277376],irrelevant
[1187949164166111232],irrelevant
[1187968875490619393],irrelevant
[1187980862727565312],irrelevant
[1187989270189035520],caution_advice_and_crisis_updates
[1187999600243826688],irrelevant
[1187999973054582785],irrelevant
[1188021719166046208],irrelevant
[1188108309674549248],irrelevant
[1188134447926910976],irrelevant
[1188148955198177285],irrelevant
[1188163094155087874],caution_advice_and_crisis_updates
[1188166224452173825],caution_advice_and_crisis_updates
[1188181971916210184],irrelevant
[1188184853948325889],caution_advice_and_crisis_updates
[1188186922256076800],caution_advice_and_crisis_updates
[1188197819804454915],irrelevant
[1188199582108393472],caution_advice_and_crisis_updates
[1188204196870459392],emotional_support_and_prayers
[1188207807939731456],irrelevant
[1188207906069594112],irrelevant
[1188208310694096898],caution_advice_and_crisis_updates
[1188211061960400897],caution_advice_and_crisis_updates
[1188211159322779648],caution_advice_and_crisis_updates emotional_support_and_prayers
[1188211645463650305],irrelevant
[1188212019301928967],irrelevant
[1188212107675873280],irrelevant
[1188212299502424065],emotional_support_and_prayers
[1188213188418048000],irrelevant
[1188215738210963456],irrelevant
[1188216734735618048],caution_advice_and_crisis_updates
[1188218182919696387],irrelevant
[1188218654397227008],irrelevant
[1188220184408055811],irrelevant
[1188221149462839303],opinions_and_criticism
[1188230975605661696],infrastructure_and_utilities_damage
[1188241988941955078],emotional_support_and_prayers
[1188479508652941312],caution_advice_and_crisis_updates
[1188479512104914944],emotional_support_and_prayers
[1188479526252224513],opinions_and_criticism
[1188479531633520642],infrastructure_and_utilities_damage
[1188479533206425605],irrelevant
[1188479539263004675],caution_advice_and_crisis_updates
[1188479551296495618],infrastructure_and_utilities_damage
[1188479582233616384],caution_advice_and_crisis_updates
[1188479610343870464],caution_advice_and_crisis_updates
[1188479659811508227],infrastructure_and_utilities_damage opinions_and_criticism
[1188479672755130368],affected_individuals_and_help emotional_support_and_prayers
[1188479690748694528],opinions_and_criticism
