ID,Information type,affected_individuals_and_help,caution_advice_and_crisis_updates,emotional_support_and_prayers,infrastructure_and_utilities_damage,irrelevant,opinions_and_criticism
[1187681823079489536],irrelevant,0,0,0,0,1,0
[1187722814369026048],irrelevant,0,0,0,0,1,0
[1187732802890022913],irrelevant,0,0,0,0,1,0
[1187769518103449600],irrelevant,0,0,0,0,1,0
[1187776861008547840],irrelevant,0,0,0,0,1,0
[1187781601494745091],irrelevant,0,0,0,0,1,0
[1187787195790385154],irrelevant,0,0,0,0,1,0
[1187789728638066689],irrelevant,0,0,0,0,1,0
[1187794032581382144],irrelevant,0,0,0,0,1,0
[1187794581678673920],irrelevant,0,0,0,0,1,0
[1187796709398798336],irrelevant,0,0,0,0,1,0
[1187797802379894787],irrelevant,0,0,0,0,1,0
[1187798152247762952],irrelevant,0,0,0,0,1,0
[1187800238679117824],irrelevant,0,0,0,0,1,0
[1187800955389005824],irrelevant,0,0,0,0,1,0
[1187801737928871936],irrelevant,0,0,0,0,1,0
[1187802142880481281],emotional_support_and_prayers,0,0,1,0,0,0
[1187803652280455168],irrelevant,0,0,0,0,1,0
[1187805141443006464],opinions_and_criticism,0,0,0,0,0,1
[1187805892001054720],irrelevant,0,0,0,0,1,0
[1187809118209347585],irrelevant,0,0,0,0,1,0
[1187810798632132614],emotional_support_and_prayers,0,0,1,0,0,0
[1187819555017711617],irrelevant,0,0,0,0,1,0
[1187821986887671809],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1187823279471509512],irrelevant,0,0,0,0,1,0
[1187829667794968576],irrelevant,0,0,0,0,1,0
[1187830700973723650],irrelevant,0,0,0,0,1,0
[1187831770365997057],irrelevant,0,0,0,0,1,0
[1187832991873196033],irrelevant,0,0,0,0,1,0
[1187841769037291523],irrelevant,0,0,0,0,1,0
[1187844552129990657],irrelevant,0,0,0,0,1,0
[1187846180560084992],irrelevant,0,0,0,0,1,0
[1187851071215034368],irrelevant,0,0,0,0,1,0
[1187851097441832960],emotional_support_and_prayers,0,0,1,0,0,0
[1187851598254485508],irrelevant,0,0,0,0,1,0
[1187853425788313600],irrelevant,0,0,0,0,1,0
[1187853989985038336],irrelevant,0,0,0,0,1,0
[1187855109604233217],irrelevant,0,0,0,0,1,0
[1187859322316963840],irrelevant,0,0,0,0,1,0
[1187859421558460418],irrelevant,0,0,0,0,1,0
[1187859478005370882],irrelevant,0,0,0,0,1,0
[1187861607495458818],irrelevant,0,0,0,0,1,0
[1187861966364315649],irrelevant,0,0,0,0,1,0
[1187865985019273216],irrelevant,0,0,0,0,1,0
[1187867654863933440],irrelevant,0,0,0,0,1,0
[1187869065253183491],irrelevant,0,0,0,0,1,0
[1187870615786676224],irrelevant,0,0,0,0,1,0
[1187881258979905536],irrelevant,0,0,0,0,1,0
[1187891567585038336],irrelevant,0,0,0,0,1,0
[1187892989173125120],irrelevant,0,0,0,0,1,0
[1187898532851847168],irrelevant,0,0,0,0,1,0
[1187898724737077248],irrelevant,0,0,0,0,1,0
[1187900796295401478],irrelevant,0,0,0,0,1,0
[1187907232102518784],irrelevant,0,0,0,0,1,0
[1187919558570643462],irrelevant,0,0,0,0,1,0
[1187929704323538949],irrelevant,0,0,0,0,1,0
[1187931452681441280],irrelevant,0,0,0,0,1,0
[1187933545496530945],irrelevant,0,0,0,0,1,0
[1187947089986277376],irrelevant,0,0,0,0,1,0
[1187949164166111232],irrelevant,0,0,0,0,1,0
[1187968875490619393],irrelevant,0,0,0,0,1,0
[1187980862727565312],irrelevant,0,0,0,0,1,0
[1187989270189035520],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1187999600243826688],irrelevant,0,0,0,0,1,0
[1187999973054582785],irrelevant,0,0,0,0,1,0
[1188021719166046208],irrelevant,0,0,0,0,1,0
[1188108309674549248],irrelevant,0,0,0,0,1,0
[1188163094155087874],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1188166224452173825],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1188181971916210184],irrelevant,0,0,0,0,1,0
[1188184853948325889],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1188186922256076800],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1188197819804454915],irrelevant,0,0,0,0,1,0
[1188199582108393472],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1188204196870459392],emotional_support_and_prayers,0,0,1,0,0,0
[1188207807939731456],irrelevant,0,0,0,0,1,0
[1188208310694096898],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1188211645463650305],irrelevant,0,0,0,0,1,0
[1188212019301928967],irrelevant,0,0,0,0,1,0
[1188213188418048000],irrelevant,0,0,0,0,1,0
[1188218182919696387],irrelevant,0,0,0,0,1,0
[1188218654397227008],irrelevant,0,0,0,0,1,0
[1188220184408055811],irrelevant,0,0,0,0,1,0
[1188221149462839303],opinions_and_criticism,0,0,0,0,0,1
[1188230975605661696],infrastructure_and_utilities_damage,0,0,0,1,0,0
[1188241988941955078],emotional_support_and_prayers,0,0,1,0,0,0
[1188479508652941312],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1188479526252224513],opinions_and_criticism,0,0,0,0,0,1
[1188479531633520642],infrastructure_and_utilities_damage,0,0,0,1,0,0
[1188479533206425605],irrelevant,0,0,0,0,1,0
[1188479551296495618],infrastructure_and_utilities_damage,0,0,0,1,0,0
[1188479582233616384],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1188479659811508227],infrastructure_and_utilities_damage opinions_and_criticism,0,0,0,1,0,1
[1188479672755130368],affected_individuals_and_help emotional_support_and_prayers,1,0,1,0,0,0
[1188479688668266496],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1188479712265461766],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1188479733178228744],opinions_and_criticism,0,0,0,0,0,1
[1188479742791602176],irrelevant,0,0,0,0,1,0
[1188479751540891649],infrastructure_and_utilities_damage,0,0,0,1,0,0
[1188479753755545600],emotional_support_and_prayers,0,0,1,0,0,0
[1188479770394279938],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1188479821904580609],irrelevant,0,0,0,0,1,0
[1188479842909655040],opinions_and_criticism,0,0,0,0,0,1
[1188479858256613376],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1188479870483009536],caution_advice_and_crisis_updates emotional_support_and_prayers,0,1,1,0,0,0
[1188479900749107200],opinions_and_criticism,0,0,0,0,0,1
[1188479909703933952],emotional_support_and_prayers,0,0,1,0,0,0
[1188479920395247627],infrastructure_and_utilities_damage,0,0,0,1,0,0
[1188479924266553344],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1188479926804123648],infrastructure_and_utilities_damage,0,0,0,1,0,0
[1188479955702878208],infrastructure_and_utilities_damage,0,0,0,1,0,0
[1188479966394105858],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1188479969409810432],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1188479968461934593],caution_advice_and_crisis_updates emotional_support_and_prayers,0,1,1,0,0,0
[1188479989269876736],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1188479990783983616],irrelevant,0,0,0,0,1,0
[1188480001324261377],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1188480007938695171],infrastructure_and_utilities_damage,0,0,0,1,0,0
[1188480006789517314],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1188480015278710786],caution_advice_and_crisis_updates,0,1,0,0,0,0
