ID,Information type,affected_individuals_and_help,caution_advice_and_crisis_updates,emotional_support_and_prayers,infrastructure_and_utilities_damage,irrelevant,opinions_and_criticism
[1055519508729946112],irrelevant,0,0,0,0,1,0
[1055520919471448064],emotional_support_and_prayers,0,0,1,0,0,0
[1055524340308103169],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1055524872766533633],emotional_support_and_prayers,0,0,1,0,0,0
[1055525091440779264],emotional_support_and_prayers,0,0,1,0,0,0
[1055525717172277248],emotional_support_and_prayers,0,0,1,0,0,0
[1055526733812776966],emotional_support_and_prayers,0,0,1,0,0,0
[1055531958149750784],irrelevant,0,0,0,0,1,0
[1055535128687116288],affected_individuals_and_help,1,0,0,0,0,0
[1055537610377052160],irrelevant,0,0,0,0,1,0
[1055539764496089088],irrelevant,0,0,0,0,1,0
[1055545789131427840],emotional_support_and_prayers,0,0,1,0,0,0
[1055546890358611969],emotional_support_and_prayers,0,0,1,0,0,0
[1055548974663393280],emotional_support_and_prayers,0,0,1,0,0,0
[1055549125608067079],caution_advice_and_crisis_updates emotional_support_and_prayers,0,1,1,0,0,0
[1055554178968403968],emotional_support_and_prayers,0,0,1,0,0,0
[1055556128644517893],irrelevant,0,0,0,0,1,0
[1055556728635490304],affected_individuals_and_help emotional_support_and_prayers,1,0,1,0,0,0
[1055557892072525829],emotional_support_and_prayers,0,0,1,0,0,0
[1055565462174683140],emotional_support_and_prayers,0,0,1,0,0,0
[1055569378274615296],emotional_support_and_prayers,0,0,1,0,0,0
[1055580316612657155],emotional_support_and_prayers,0,0,1,0,0,0
[1055580337957412864],emotional_support_and_prayers,0,0,1,0,0,0
[1055594031625965568],emotional_support_and_prayers,0,0,1,0,0,0
[1055595408779550720],irrelevant,0,0,0,0,1,0
[1055597832143585281],emotional_support_and_prayers,0,0,1,0,0,0
[1055597883741913088],emotional_support_and_prayers,0,0,1,0,0,0
[1055605792320167936],irrelevant,0,0,0,0,1,0
[1055606143362445312],emotional_support_and_prayers,0,0,1,0,0,0
[1055619381294743553],emotional_support_and_prayers,0,0,1,0,0,0
[1055663889365524480],emotional_support_and_prayers,0,0,1,0,0,0
[1055679580663615488],affected_individuals_and_help emotional_support_and_prayers,1,0,1,0,0,0
[1055690972775047168],affected_individuals_and_help,1,0,0,0,0,0
[1055712858082893824],caution_advice_and_crisis_updates emotional_support_and_prayers,0,1,1,0,0,0
[1055722144854892546],emotional_support_and_prayers,0,0,1,0,0,0
[1055732955715461120],irrelevant,0,0,0,0,1,0
[1055740687679979520],emotional_support_and_prayers,0,0,1,0,0,0
[1055743257093779457],emotional_support_and_prayers,0,0,1,0,0,0
[1055748897652592640],irrelevant,0,0,0,0,1,0
[1055752936461160448],emotional_support_and_prayers,0,0,1,0,0,0
[1055755086620778496],emotional_support_and_prayers,0,0,1,0,0,0
[1055765573320298497],irrelevant,0,0,0,0,1,0
[1055770385591996417],emotional_support_and_prayers,0,0,1,0,0,0
[1055771756496121856],emotional_support_and_prayers,0,0,1,0,0,0
[1055773555441524736],emotional_support_and_prayers,0,0,1,0,0,0
[1055791675258429440],emotional_support_and_prayers,0,0,1,0,0,0
[1055794585090355200],emotional_support_and_prayers,0,0,1,0,0,0
[1055800326949949440],emotional_support_and_prayers,0,0,1,0,0,0
[1055816960896888834],irrelevant,0,0,0,0,1,0
[1055823055950438400],emotional_support_and_prayers,0,0,1,0,0,0
[1055823923504398336],irrelevant,0,0,0,0,1,0
[1055824344948133888],emotional_support_and_prayers,0,0,1,0,0,0
[1055832481927176193],affected_individuals_and_help,1,0,0,0,0,0
[1055842843720404992],emotional_support_and_prayers,0,0,1,0,0,0
[1055848281018978304],emotional_support_and_prayers,0,0,1,0,0,0
[1055859563088482307],emotional_support_and_prayers,0,0,1,0,0,0
[1055961496423948290],opinions_and_criticism,0,0,0,0,0,1
[1056040441097936896],emotional_support_and_prayers,0,0,1,0,0,0
[1056060327354400768],opinions_and_criticism,0,0,0,0,0,1
[1056154284138655744],opinions_and_criticism,0,0,0,0,0,1
[1056231531839193088],irrelevant,0,0,0,0,1,0
[1056464412339507200],emotional_support_and_prayers,0,0,1,0,0,0
[1056497251323916289],opinions_and_criticism,0,0,0,0,0,1
