ID,Information type,affected_individuals_and_help,caution_advice_and_crisis_updates,emotional_support_and_prayers,infrastructure_and_utilities_damage,irrelevant,opinions_and_criticism
[1058982323608305664],irrelevant,0,0,0,0,1,0
[1058989747295666176],irrelevant,0,0,0,0,1,0
[1059018433759768576],irrelevant,0,0,0,0,1,0
[1059027305723584513],emotional_support_and_prayers,0,0,1,0,0,0
[1059036041305341952],irrelevant,0,0,0,0,1,0
[1059036220372762624],irrelevant,0,0,0,0,1,0
[1059037896618008576],opinions_and_criticism,0,0,0,0,0,1
[1059040048497287170],irrelevant,0,0,0,0,1,0
[1059049715579412480],opinions_and_criticism,0,0,0,0,0,1
[1059057193029431296],irrelevant,0,0,0,0,1,0
[1059063175423901697],irrelevant,0,0,0,0,1,0
[1059076389880639488],irrelevant,0,0,0,0,1,0
[1059083518859448321],irrelevant,0,0,0,0,1,0
[1059085780474347520],irrelevant,0,0,0,0,1,0
[1059086544152260609],opinions_and_criticism,0,0,0,0,0,1
[1059087244563226624],irrelevant,0,0,0,0,1,0
[1059090551264497664],irrelevant,0,0,0,0,1,0
[1059092546415222784],irrelevant,0,0,0,0,1,0
[1059093630923759616],irrelevant,0,0,0,0,1,0
[1059093971182469120],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1059097294149160961],irrelevant,0,0,0,0,1,0
[1059099103924310016],irrelevant,0,0,0,0,1,0
[1059100213439279104],irrelevant,0,0,0,0,1,0
[1059102622098079745],irrelevant,0,0,0,0,1,0
[1059109686400770048],emotional_support_and_prayers,0,0,1,0,0,0
[1059115024172621825],irrelevant,0,0,0,0,1,0
[1059116243721035776],opinions_and_criticism,0,0,0,0,0,1
[1059125288095887360],irrelevant,0,0,0,0,1,0
[1059126195177054208],infrastructure_and_utilities_damage,0,0,0,1,0,0
[1059127230251630592],irrelevant,0,0,0,0,1,0
[1059139136949571585],irrelevant,0,0,0,0,1,0
[1059149473128108033],irrelevant,0,0,0,0,1,0
[1059152334297710593],irrelevant,0,0,0,0,1,0
[1059165766862409730],irrelevant,0,0,0,0,1,0
[1059177015948070913],opinions_and_criticism,0,0,0,0,0,1
[1059180243842416640],irrelevant,0,0,0,0,1,0
[1059180361295544320],irrelevant,0,0,0,0,1,0
[1059190291037634563],opinions_and_criticism,0,0,0,0,0,1
[1059191795232448517],irrelevant,0,0,0,0,1,0
[1059192791534854149],irrelevant,0,0,0,0,1,0
[1059456898662105088],irrelevant,0,0,0,0,1,0
[1059458533392072704],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1059459059546492928],irrelevant,0,0,0,0,1,0
[1059488432551014401],affected_individuals_and_help,1,0,0,0,0,0
[1059516914890883072],irrelevant,0,0,0,0,1,0
[1059598452861100032],emotional_support_and_prayers,0,0,1,0,0,0
[1059601222280400896],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1059601532889501696],affected_individuals_and_help,1,0,0,0,0,0
[1059601738678853632],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1059603537062232065],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1059604807584022530],infrastructure_and_utilities_damage opinions_and_criticism,0,0,0,1,0,1
[1059604807059718144],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1059605291786997761],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1059605537548046336],emotional_support_and_prayers,0,0,1,0,0,0
[1059608489335631875],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1059609310853058560],opinions_and_criticism,0,0,0,0,0,1
[1059609422509604864],emotional_support_and_prayers,0,0,1,0,0,0
[1059614738907324416],opinions_and_criticism,0,0,0,0,0,1
[1059617413510127618],infrastructure_and_utilities_damage,0,0,0,1,0,0
[1059622116214145024],opinions_and_criticism,0,0,0,0,0,1
[1059630673089228800],opinions_and_criticism,0,0,0,0,0,1
[1059632568805609474],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1059636323332579328],irrelevant,0,0,0,0,1,0
[1059641716188295168],irrelevant,0,0,0,0,1,0
[1059656205843550208],emotional_support_and_prayers,0,0,1,0,0,0
[1059656854727462912],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1059660241514696704],affected_individuals_and_help,1,0,0,0,0,0
[1059668984319090688],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1059677826826338305],affected_individuals_and_help,1,0,0,0,0,0
[1059682584429559814],opinions_and_criticism,0,0,0,0,0,1
[1059683942297726976],opinions_and_criticism,0,0,0,0,0,1
[1059684694428655616],irrelevant,0,0,0,0,1,0
[1059688470732570629],opinions_and_criticism,0,0,0,0,0,1
[1059695006276091904],affected_individuals_and_help,1,0,0,0,0,0
[1059695212979720192],emotional_support_and_prayers,0,0,1,0,0,0
[1059699825325887488],affected_individuals_and_help,1,0,0,0,0,0
[1059699978053005312],emotional_support_and_prayers,0,0,1,0,0,0
[1059701543774183426],infrastructure_and_utilities_damage,0,0,0,1,0,0
[1059704019902521344],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1059707614060257280],infrastructure_and_utilities_damage,0,0,0,1,0,0
[1059718492159700992],emotional_support_and_prayers,0,0,1,0,0,0
[1059720142928650240],affected_individuals_and_help infrastructure_and_utilities_damage,1,0,0,1,0,0
[1059724881334546433],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1059726976120963072],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1059727707255332864],opinions_and_criticism,0,0,0,0,0,1
[1059730183694049281],opinions_and_criticism,0,0,0,0,0,1
[1059737961883951104],irrelevant,0,0,0,0,1,0
[1059745141051850752],opinions_and_criticism,0,0,0,0,0,1
[1059755819649118209],emotional_support_and_prayers,0,0,1,0,0,0
[1059755907251400704],emotional_support_and_prayers,0,0,1,0,0,0
[1059771899654344704],opinions_and_criticism,0,0,0,0,0,1
[1059775834070925312],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1059777421904351232],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1059781877870092288],caution_advice_and_crisis_updates opinions_and_criticism,0,1,0,0,0,1
[1059783671404814336],emotional_support_and_prayers opinions_and_criticism,0,0,1,0,0,1
[1059787028760543232],opinions_and_criticism,0,0,0,0,0,1
[1059787979428896768],opinions_and_criticism,0,0,0,0,0,1
[1059789117612085248],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1059793711708753921],opinions_and_criticism,0,0,0,0,0,1
[1059804070310043652],opinions_and_criticism,0,0,0,0,0,1
[1059818321917501440],opinions_and_criticism,0,0,0,0,0,1
[1059818521213964288],opinions_and_criticism,0,0,0,0,0,1
[1059846279247880192],irrelevant,0,0,0,0,1,0
[1059851587965849600],opinions_and_criticism,0,0,0,0,0,1
[1059854848991129600],irrelevant,0,0,0,0,1,0
[1059854866707869696],opinions_and_criticism,0,0,0,0,0,1
[1059900948066242563],opinions_and_criticism,0,0,0,0,0,1
[1059916822110187522],opinions_and_criticism,0,0,0,0,0,1
[1059922948910387202],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060306939840790528],opinions_and_criticism,0,0,0,0,0,1
[1060306981850877957],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060307028801921025],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060307136473976833],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060307552523771906],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060307674024288258],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060308126191284224],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060308428344778752],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060309778986090496],emotional_support_and_prayers,0,0,1,0,0,0
[1060310889247768577],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060311092453408768],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060312315646619648],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060314233777385472],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060316908619214849],opinions_and_criticism,0,0,0,0,0,1
[1060317829239595008],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060318305720983553],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060319300823728129],opinions_and_criticism,0,0,0,0,0,1
[1060326963364139010],irrelevant,0,0,0,0,1,0
[1060327020914184192],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060327365170081792],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060329569822085121],emotional_support_and_prayers,0,0,1,0,0,0
[1060329627225387008],opinions_and_criticism,0,0,0,0,0,1
[1060330091253809152],emotional_support_and_prayers,0,0,1,0,0,0
[1060330749755355137],irrelevant,0,0,0,0,1,0
[1060332505323192320],irrelevant,0,0,0,0,1,0
[1060334058083901440],emotional_support_and_prayers,0,0,1,0,0,0
[1060334204163100673],irrelevant,0,0,0,0,1,0
[1060335610265767936],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060336299545112577],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060337674651922432],irrelevant,0,0,0,0,1,0
[1060337964390080512],irrelevant,0,0,0,0,1,0
[1060338427365941248],opinions_and_criticism,0,0,0,0,0,1
[1060338466020618241],irrelevant,0,0,0,0,1,0
[1060339373789601792],irrelevant,0,0,0,0,1,0
[1060339933410480134],irrelevant,0,0,0,0,1,0
[1060340234238550017],irrelevant,0,0,0,0,1,0
[1060340598559903744],opinions_and_criticism,0,0,0,0,0,1
[1060340610635304960],irrelevant,0,0,0,0,1,0
[1060341072432414722],irrelevant,0,0,0,0,1,0
[1060342369147600897],irrelevant,0,0,0,0,1,0
[1060344682289512448],irrelevant,0,0,0,0,1,0
[1060345981638713346],emotional_support_and_prayers,0,0,1,0,0,0
[1060350338904014848],irrelevant,0,0,0,0,1,0
[1060355311981285376],irrelevant,0,0,0,0,1,0
[1060355411189084160],irrelevant,0,0,0,0,1,0
[1060355531544674304],emotional_support_and_prayers,0,0,1,0,0,0
[1060356304592691200],opinions_and_criticism,0,0,0,0,0,1
[1060356726917160960],opinions_and_criticism,0,0,0,0,0,1
[1060357480507678725],opinions_and_criticism,0,0,0,0,0,1
[1060357576720834560],opinions_and_criticism,0,0,0,0,0,1
[1060363960862588928],irrelevant,0,0,0,0,1,0
[1060364366212665344],irrelevant,0,0,0,0,1,0
[1060368088699469824],irrelevant,0,0,0,0,1,0
[1060368457823412225],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060368668230590464],irrelevant,0,0,0,0,1,0
[1060369970058665987],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060371504653844480],opinions_and_criticism,0,0,0,0,0,1
[1060374247661596672],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060374683437154305],irrelevant,0,0,0,0,1,0
[1060374939621122048],irrelevant,0,0,0,0,1,0
[1060375058680594432],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060375132450054144],opinions_and_criticism,0,0,0,0,0,1
[1060376433472741376],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060376470583951360],opinions_and_criticism,0,0,0,0,0,1
[1060377644989145089],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060378967394410496],irrelevant,0,0,0,0,1,0
[1060379089771655168],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060379773929689089],irrelevant,0,0,0,0,1,0
[1060380107787960322],opinions_and_criticism,0,0,0,0,0,1
[1060383075320938496],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060390035298701312],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060391204225986560],opinions_and_criticism,0,0,0,0,0,1
